Date,Close,High,Low,Open,Volume
02-01-1962,0.04505204,0.046278629,0.04505204,0.04505204,806400
03-01-1962,0.044048265,0.044382962,0.043379222,0.044382962,1574400
04-01-1962,0.044382971,0.04471749,0.044159955,0.044159955,844800
05-01-1962,0.043379225,0.0449405,0.043267717,0.044382965,1420800
08-01-1962,0.042933214,0.043044723,0.04209682,0.043044723,2035200
09-01-1962,0.043713775,0.043936791,0.042598699,0.042933223,960000
10-01-1962,0.043936778,0.044550159,0.043267735,0.043713762,1612800
11-01-1962,0.044382971,0.044382971,0.043713749,0.043936765,614400
12-01-1962,0.044048265,0.044382962,0.043602238,0.044382962,883200
15-01-1962,0.043602251,0.043936769,0.043490742,0.043936769,614400
16-01-1962,0.042821705,0.043490754,0.042765867,0.043490754,1113600
17-01-1962,0.041483618,0.04282171,0.041483618,0.04282171,1574400
18-01-1962,0.040647194,0.041706601,0.040479848,0.041483588,2649600
19-01-1962,0.04192964,0.04192964,0.041037407,0.041037407,1459200
22-01-1962,0.042264141,0.042375649,0.041483588,0.041929617,1075200
23-01-1962,0.041371904,0.042152629,0.041371904,0.042152629,768000
24-01-1962,0.040925886,0.041483598,0.040145333,0.041371919,2611200
25-01-1962,0.040591396,0.041595138,0.040591396,0.040925921,1574400
26-01-1962,0.04014536,0.04059139,0.039922344,0.04059139,1574400
29-01-1962,0.04014536,0.040256868,0.040033852,0.04014536,307200
30-01-1962,0.039977986,0.040479857,0.039977986,0.040145333,1574400
31-01-1962,0.041595139,0.041595139,0.040145367,0.040145367,1766400
01-02-1962,0.04192964,0.042598686,0.04192964,0.04192964,1420800
02-02-1962,0.04237565,0.04237565,0.041260402,0.041929618,1152000
05-02-1962,0.04237565,0.04237565,0.042041126,0.04237565,384000
06-02-1962,0.041818142,0.042375682,0.041818142,0.042375682,691200
07-02-1962,0.042041145,0.042041145,0.041818129,0.041818129,192000
08-02-1962,0.042152658,0.042375674,0.041595118,0.04204115,768000
09-02-1962,0.04237565,0.04237565,0.041929618,0.042152634,729600
12-02-1962,0.042041145,0.042487175,0.042041145,0.042375669,307200
13-02-1962,0.042041145,0.042264161,0.042041145,0.042041145,652800
14-02-1962,0.04126041,0.042041135,0.04126041,0.042041135,652800
15-02-1962,0.041037403,0.041595112,0.041037403,0.041260419,652800
16-02-1962,0.041037403,0.041818128,0.041037403,0.041037403,1190400
19-02-1962,0.041706588,0.041706588,0.041371896,0.041371896,345600
20-02-1962,0.041483618,0.04181814,0.041371939,0.041706632,460800
21-02-1962,0.04126041,0.041818119,0.04126041,0.041483597,691200
23-02-1962,0.040814418,0.04181816,0.040814418,0.041260451,1036800
26-02-1962,0.041483618,0.04181814,0.040591383,0.040814399,768000
27-02-1962,0.041706588,0.041818096,0.041483575,0.041483575,460800
28-02-1962,0.040925886,0.041595103,0.040814378,0.041595103,652800
01-03-1962,0.040702879,0.040925895,0.040145342,0.040925895,19545600
02-03-1962,0.041148949,0.041148949,0.040814425,0.040814425,806400
05-03-1962,0.040591396,0.041148937,0.040591396,0.041148937,652800
06-03-1962,0.041483618,0.041483618,0.041037415,0.041037415,883200
07-03-1962,0.040925886,0.041483598,0.040925886,0.041483598,691200
08-03-1962,0.041037403,0.041371927,0.040814387,0.040925895,883200
09-03-1962,0.040591396,0.041204775,0.040256875,0.041037429,1113600
12-03-1962,0.041483618,0.041483618,0.041037415,0.041037415,998400
13-03-1962,0.042145796,0.042145796,0.041809099,0.041809099,1344000
14-03-1962,0.042202011,0.042314243,0.041977546,0.04214581,1689600
15-03-1962,0.041977506,0.042314203,0.041977506,0.042201971,883200
16-03-1962,0.041977506,0.04214577,0.041977506,0.041977506,768000
19-03-1962,0.042202011,0.042426476,0.041977546,0.041977546,921600
20-03-1962,0.042650908,0.042650908,0.042201979,0.042201979,1305600
21-03-1962,0.043212101,0.043436566,0.042875404,0.042875404,2188800
22-03-1962,0.043660991,0.043885455,0.043324294,0.043324294,1344000
23-03-1962,0.044446837,0.044783534,0.043997733,0.043997733,1497600
26-03-1962,0.043885473,0.044783501,0.043773241,0.044446804,1420800
27-03-1962,0.043548785,0.043661018,0.04332432,0.043661018,844800
28-03-1962,0.043212101,0.043548798,0.043212101,0.043548798,460800
29-03-1962,0.043324325,0.043773255,0.04309986,0.043212093,1036800
30-03-1962,0.042650908,0.043324299,0.042650908,0.043324299,1382400
02-04-1962,0.043212101,0.043436566,0.042426477,0.042650941,1152000
03-04-1962,0.041865334,0.043436586,0.041528467,0.043212121,1228800
04-04-1962,0.042370249,0.042987611,0.042201987,0.042201987,1459200
05-04-1962,0.042426471,0.042819197,0.042202006,0.042370267,1036800
06-04-1962,0.043099869,0.043324334,0.042650942,0.042650942,729600
09-04-1962,0.043212101,0.043548798,0.043212101,0.043212101,537600
10-04-1962,0.043212101,0.043548798,0.043212101,0.043212101,614400
11-04-1962,0.042202011,0.043436564,0.042033577,0.0432121,883200
12-04-1962,0.041416228,0.041977559,0.041303995,0.041977559,1075200
13-04-1962,0.042650908,0.042650908,0.040742792,0.041416183,1804800
16-04-1962,0.042763162,0.043324324,0.0425387,0.042650933,2227200
17-04-1962,0.04298763,0.043212095,0.04242647,0.042763165,1152000
18-04-1962,0.043212101,0.043212101,0.042875404,0.042987636,691200
19-04-1962,0.043268319,0.043268319,0.042987651,0.043212116,806400
23-04-1962,0.043324325,0.043773255,0.043156064,0.043268296,691200
24-04-1962,0.043548785,0.043548785,0.042987623,0.04332432,883200
25-04-1962,0.04298763,0.043436559,0.04298763,0.043436559,422400
26-04-1962,0.042763162,0.043212092,0.042426468,0.042987627,806400
27-04-1962,0.043212101,0.043212101,0.042538709,0.042763171,883200
30-04-1962,0.041528434,0.042763156,0.041303969,0.042763156,1382400
01-05-1962,0.042089771,0.042202004,0.041303975,0.04152844,1574400
02-05-1962,0.042594712,0.042650916,0.042314219,0.042314219,1305600
03-05-1962,0.043099869,0.043099869,0.042426477,0.042594739,844800
04-05-1962,0.042763162,0.043268295,0.042763162,0.04309986,537600
07-05-1962,0.042314224,0.043099848,0.042314224,0.042763151,691200
08-05-1962,0.041809093,0.042875383,0.041809093,0.042314223,1190400
09-05-1962,0.040967267,0.041753065,0.040967267,0.041753065,1267200
10-05-1962,0.040630564,0.041079491,0.040406099,0.040967258,1920000
11-05-1962,0.039283805,0.040967285,0.038946938,0.040630591,2380800
14-05-1962,0.038610242,0.039508271,0.037600153,0.039283806,3187200
15-05-1962,0.04051834,0.040967267,0.038834688,0.038834688,2534400
16-05-1962,0.040630564,0.040855026,0.040406099,0.040518332,1612800
17-05-1962,0.040181644,0.040911239,0.040181644,0.040630574,2496000
18-05-1962,0.040293869,0.040293869,0.039620477,0.040181636,806400
21-05-1962,0.040237669,0.040406102,0.040069405,0.04029387,960000
22-05-1962,0.039059341,0.040237691,0.038946936,0.040237691,1420800
23-05-1962,0.038610242,0.03900314,0.038385778,0.03900314,2342400
24-05-1962,0.037824601,0.03838576,0.037824601,0.03838576,2688000
25-05-1962,0.037375666,0.03816129,0.037038972,0.037824596,2841600
28-05-1962,0.035411555,0.037319502,0.034008568,0.037319502,4377600
29-05-1962,0.036253177,0.036253177,0.031427027,0.035411522,7411200
31-05-1962,0.037712369,0.037936834,0.036926745,0.036926745,4761600
01-06-1962,0.037263449,0.038049073,0.03681452,0.037712376,2688000
04-06-1962,0.034345247,0.037038988,0.034345247,0.037038988,3456000
05-06-1962,0.035692003,0.03703896,0.034457453,0.034457453,2688000
06-06-1962,0.036140956,0.036477823,0.035804259,0.035804259,1344000
07-06-1962,0.036253177,0.036365581,0.036028712,0.036140944,691200
08-06-1962,0.037038978,0.037038978,0.036253182,0.036253182,1420800
11-06-1962,0.037084281,0.0375365,0.036971227,0.037310391,2304000
12-06-1962,0.035557996,0.03714076,0.035388329,0.03708432,2227200
13-06-1962,0.035105612,0.035953607,0.034936115,0.035558002,2726400
14-06-1962,0.034596939,0.035275265,0.034596939,0.035105597,2419200
15-06-1962,0.03606664,0.03606664,0.034427262,0.034596933,3878400
18-06-1962,0.035897154,0.036123264,0.035501377,0.036066649,2188800
19-06-1962,0.035388317,0.035727479,0.035388317,0.035727479,691200
20-06-1962,0.034879472,0.035727466,0.034879472,0.035388304,2457600
21-06-1962,0.034427252,0.034936084,0.034370812,0.034879471,1651200
22-06-1962,0.03391863,0.034427287,0.03391863,0.034427287,1536000
25-06-1962,0.033579271,0.033975049,0.032618393,0.033918609,5721600
26-06-1962,0.033466216,0.034031661,0.033240107,0.033579271,2227200
27-06-1962,0.033353176,0.033579286,0.033183682,0.033466231,2496000
28-06-1962,0.0349361,0.0349361,0.033805384,0.033805384,2918400
29-06-1962,0.034596939,0.03516221,0.034483884,0.034936101,2150400
02-07-1962,0.035501361,0.035671028,0.03448387,0.034596925,1459200
03-07-1962,0.035727471,0.035727471,0.0351622,0.035501364,1612800
05-07-1962,0.035897154,0.035953594,0.035275267,0.035727484,1228800
06-07-1962,0.035388317,0.035897149,0.035275262,0.035897149,844800
09-07-1962,0.03606664,0.03606664,0.035614423,0.035614423,1689600
10-07-1962,0.03617968,0.036632073,0.03617968,0.03617968,2304000
11-07-1962,0.03640582,0.03640582,0.035557997,0.036179711,1843200
12-07-1962,0.036745124,0.037084288,0.035953569,0.036405788,1728000
