date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
2003-06-09,10-Q,0000104169-03-000007,135,57,72,63,9,2.6754,1.1296,1.4269,1.5458,5046
2003-08-07,8-K,0001193125-03-030390,0,0,2,1,0,0.0,0.0,1.5038,0.0,133
2003-08-13,8-K,0001193125-03-035027,0,0,1,1,0,0.0,0.0,0.7407,0.0,135
2003-09-10,10-Q,0000104169-03-000017,0,1,1,1,0,0.0,1.7544,1.7544,-1.7544,57
2003-09-30,8-K,0001193125-03-056225,17,3,2,1,0,1.4744,0.2602,0.1735,1.2142,1153
2003-10-07,8-K,0001193125-03-058803,0,0,0,1,0,0.0,0.0,0.0,0.0,363
2003-11-13,8-K,0001193125-03-079213,0,0,1,1,0,0.0,0.0,0.7519,0.0,133
2003-12-11,10-Q,0000104169-03-000021,153,89,115,105,20,1.8954,1.1026,1.4247,0.7929,8072
2004-02-05,8-K,0001193125-04-014970,0,0,1,1,0,0.0,0.0,0.7407,0.0,135
2004-02-19,8-K,0001193125-04-026191,0,0,1,1,0,0.0,0.0,0.7194,0.0,139
2004-02-19,8-K,0001193125-04-025992,1,0,0,1,0,0.1656,0.0,0.0,0.1656,604
2004-03-15,8-K,0001193125-04-042276,1,0,0,1,0,0.1603,0.0,0.0,0.1603,624
2004-04-09,10-K,0001193125-04-059900,75,35,74,45,32,0.9361,0.4368,0.9236,0.4993,8012
2004-05-13,8-K,0001193125-04-086751,0,0,3,1,0,0.0,0.0,2.2388,0.0,134
2004-05-21,8-K,0001193125-04-092811,3,0,2,1,1,1.5306,0.0,1.0204,1.5306,196
2004-06-04,10-Q,0001193125-04-098967,186,77,87,93,18,2.5214,1.0438,1.1793,1.4776,7377
2004-08-12,8-K,0001193125-04-138477,0,0,1,1,0,0.0,0.0,0.7407,0.0,135
2004-09-03,10-Q,0001193125-04-152109,254,89,104,108,16,2.8307,0.9919,1.159,1.8388,8973
2004-09-16,8-K,0001193125-04-157268,0,2,3,2,1,0.0,0.2853,0.428,-0.2853,701
2004-09-24,8-K,0001193125-04-161318,0,0,0,1,0,0.0,0.0,0.0,0.0,140
2004-09-28,8-K,0001193125-04-163255,0,2,5,2,1,0.0,0.2587,0.6468,-0.2587,773
2004-11-04,8-K,0001193125-04-185448,0,1,2,2,1,0.0,0.4902,0.9804,-0.4902,204
2004-11-16,8-K,0001193125-04-197873,0,1,2,2,1,0.0,0.4975,0.995,-0.4975,201
2004-12-03,10-Q,0001193125-04-207402,266,81,109,108,16,2.8747,0.8754,1.178,1.9994,9253
2004-12-06,8-K,0001193125-04-208147,0,0,0,1,0,0.0,0.0,0.0,0.0,123
2005-01-10,8-K,0001193125-05-003695,0,2,1,2,1,0.0,0.7843,0.3922,-0.7843,255
2005-01-11,8-K,0001193125-05-004716,0,1,1,2,1,0.0,0.5181,0.5181,-0.5181,193
2005-01-19,8-K,0001193125-05-008227,0,2,2,2,1,0.0,0.2899,0.2899,-0.2899,690
2005-01-26,8-K,0001193125-05-012391,0,2,5,3,3,0.0,0.4651,1.1628,-0.4651,430
2005-02-17,8-K,0001193125-05-031556,0,1,2,2,1,0.0,0.4717,0.9434,-0.4717,212
2005-03-08,8-K,0001169232-05-001545,14,13,18,9,19,0.6034,0.5603,0.7759,0.0431,2320
2005-03-25,8-K,0001169232-05-001822,1,4,2,2,0,0.3521,1.4085,0.7042,-1.0563,284
2005-03-31,10-K,0001193125-05-066992,114,53,129,64,39,1.0972,0.5101,1.2416,0.5871,10390
2005-05-12,8-K,0001193125-05-104684,0,1,4,2,1,0.0,0.3663,1.4652,-0.3663,273
2005-06-03,10-Q,0000104169-05-000003,161,54,72,80,15,2.6035,0.8732,1.1643,1.7303,6184
2005-06-08,8-K,0001193125-05-122279,0,2,2,3,1,0.0,0.1994,0.1994,-0.1994,1003
2005-06-09,8-K,0001169232-05-003091,26,13,82,4,18,1.0164,0.5082,3.2056,0.5082,2558
2005-06-10,8-K,0001169232-05-003117,3,10,10,8,4,0.3881,1.2937,1.2937,-0.9056,773
2005-08-04,8-K,0001169232-05-003873,3,1,2,2,1,0.7229,0.241,0.4819,0.4819,415
