date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
2003-07-11,8-K,0000021344-03-000094,0,0,0,1,0,0.0,0.0,0.0,0.0,90
2003-07-17,8-K,0000021344-03-000096,0,0,0,1,3,0.0,0.0,0.0,0.0,183
2003-08-13,10-Q,0000021344-03-000111,86,56,96,14,16,1.8623,1.2126,2.0788,0.6496,4618
2003-10-16,8-K,0000021344-03-000149,0,0,0,1,0,0.0,0.0,0.0,0.0,103
2003-10-16,8-K,0000021344-03-000151,0,0,0,1,0,0.0,0.0,0.0,0.0,106
2003-10-27,10-Q,0000021344-03-000157,106,68,127,13,19,2.0291,1.3017,2.4311,0.7274,5224
2004-01-15,8-K,0000021344-04-000006,0,0,0,1,0,0.0,0.0,0.0,0.0,66
2004-02-11,8-K,0001047469-04-003942,0,0,0,1,3,0.0,0.0,0.0,0.0,191
2004-02-20,8-K,0000021344-04-000012,0,0,0,1,0,0.0,0.0,0.0,0.0,66
2004-02-27,10-K,0001047469-04-005840,17,1,5,1,0,2.6114,0.1536,0.768,2.4578,651
2004-04-21,8-K,0000021344-04-000056,0,0,1,2,4,0.0,0.0,0.4202,0.0,238
2004-04-29,10-Q,0001047469-04-014222,27,9,41,2,12,1.6255,0.5418,2.4684,1.0837,1661
2004-05-05,8-K,0000021344-04-000064,0,0,0,1,0,0.0,0.0,0.0,0.0,66
2004-05-28,8-K,0000021344-04-000069,0,0,0,1,0,0.0,0.0,0.0,0.0,66
2004-06-09,8-K,0000021344-04-000073,0,0,0,1,0,0.0,0.0,0.0,0.0,66
2004-06-15,8-K,0000021344-04-000075,0,0,0,1,0,0.0,0.0,0.0,0.0,66
2004-06-23,8-K,0000021344-04-000077,0,0,0,1,0,0.0,0.0,0.0,0.0,66
2004-07-13,8-K,0000021344-04-000113,0,0,0,1,0,0.0,0.0,0.0,0.0,106
2004-07-22,8-K,0001047469-04-023950,0,0,1,2,4,0.0,0.0,0.3906,0.0,256
2004-08-05,10-Q,0001047469-04-025463,31,12,40,2,11,1.8563,0.7186,2.3952,1.1377,1670
2004-09-01,8-K,0000021344-04-000132,0,0,1,1,0,0.0,0.0,0.8475,0.0,118
2004-09-03,8-K,0000021344-04-000134,1,1,0,1,0,0.5263,0.5263,0.0,0.0,190
2004-09-15,8-K,0000021344-04-000138,0,0,0,1,3,0.0,0.0,0.0,0.0,130
2004-09-17,8-K,0000021344-04-000142,1,0,1,1,0,0.4808,0.0,0.4808,0.4808,208
2004-10-19,8-K,0000021344-04-000178,0,1,0,1,0,0.0,0.8264,0.0,-0.8264,121
2004-10-21,8-K,0001047469-04-031788,0,1,2,3,5,0.0,0.3145,0.6289,-0.3145,318
2004-10-28,10-Q,0001047469-04-032333,33,12,41,2,11,1.8976,0.6901,2.3577,1.2076,1739
2004-11-12,8-K,0000021344-04-000183,6,1,2,3,5,2.0619,0.3436,0.6873,1.7182,291
2004-12-08,8-K,0000021344-04-000191,0,1,2,2,1,0.0,0.565,1.1299,-0.565,177
2005-01-06,8-K,0000021344-05-000002,0,1,1,2,1,0.0,0.495,0.495,-0.495,202
2005-02-16,8-K,0001047469-05-004004,0,1,1,2,4,0.0,0.3876,0.3876,-0.3876,258
2005-02-23,8-K,0000021344-05-000012,2,1,3,2,1,0.6803,0.3401,1.0204,0.3401,294
2005-03-04,10-K,0001047469-05-005411,19,1,6,1,0,2.79,0.1468,0.8811,2.6432,681
2005-04-01,8-K,0000021344-05-000018,0,1,7,2,1,0.0,0.3115,2.1807,-0.3115,321
2005-04-07,8-K,0000021344-05-000046,1,2,4,3,1,0.1789,0.3578,0.7156,-0.1789,559
2005-04-18,8-K,0000021344-05-000048,1,4,5,8,7,0.1172,0.4689,0.5862,-0.3517,853
2005-04-19,8-K,0001047469-05-010625,0,1,1,2,4,0.0,0.3322,0.3322,-0.3322,301
2005-04-25,8-K,0000021344-05-000050,1,1,5,2,1,0.4367,0.4367,2.1834,0.0,229
2005-04-28,10-Q,0001047469-05-011762,31,14,50,2,15,1.4527,0.656,2.343,0.7966,2134
2005-06-22,8-K,0001104659-05-029150,0,1,1,1,2,0.0,0.5,0.5,-0.5,200
2005-07-12,8-K,0001104659-05-032120,1,1,2,1,1,0.3571,0.3571,0.7143,0.0,280
2005-07-21,8-K,0001104659-05-033242,0,1,1,1,4,0.0,0.4386,0.4386,-0.4386,228
2005-08-01,10-Q,0001104659-05-035430,286,208,286,191,42,1.9118,1.3904,1.9118,0.5214,14960
2005-10-20,8-K,0001104659-05-049249,0,1,1,1,4,0.0,0.431,0.431,-0.431,232
2005-10-26,8-K,0000021344-05-000158,0,2,1,1,1,0.0,1.4925,0.7463,-1.4925,134
2005-10-27,10-Q,0001104659-05-050698,324,275,373,163,51,2.0247,1.7185,2.331,0.3062,16002
2005-11-30,8-K,0000021344-05-000163,0,1,1,1,1,0.0,0.4926,0.4926,-0.4926,203
