date,open,high,low,close,volume,daily_return,gap_pct,close_lag1,close_lag5,close_lag10,ma_7,ma_20,ma_50,ma_200,volatility_20,volatility_30,avg_volume_20,volume_ratio_20,momentum_5d,momentum_10d,distance_from_ma20,distance_from_ma50,upper_band_20,lower_band_20,rsi_14,day_of_week,month,quarter,market_regime,next_day_close,next_day_return,target_direction,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,lm_sentiment_ma5,lm_sentiment_ma20,lm_sentiment_delta,lm_uncertainty_zscore,lm_litigation_spike,lm_neg_dominant
2005-06-03,7.123106498131919,7.185448262946023,6.890131790599251,6.96091890335083,750540708,-2.6537044140139243,-0.385561118401067,7.150676727294922,6.4378437995910645,5.94059944152832,6.810546670641218,6.192090749740601,5.451691551208496,4.457134020328522,1.983635165906648,2.021860161216683,556595247.6,1.348449723989343,8.125004582947337,17.175362046628994,12.416293376230591,27.68365264186265,7.260345905904215,5.123835593576986,86.58919945654179,4,6,2,bullish,7.226181983947754,3.810748038872168,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-06,7.013822521282515,7.295974780440334,6.999913843729349,7.226181983947754,900134964,3.810748038872158,0.7600091118173846,6.96091890335083,6.606738567352295,6.000954627990723,6.917453765869141,6.2702291250228885,5.507173252105713,4.480804027318954,2.0683277552120125,1.9007685312843687,588087723.6,1.5306134236059064,9.375933530297177,20.417207459661626,15.24589994821562,31.213994061014212,7.402370746304381,5.138087503741396,88.1027981403057,0,6,2,bullish,7.280326843261719,0.7492872368041972,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-07,7.379180252075113,7.441025097399952,7.210286058059198,7.280326843261719,971947080,0.7492872368042081,2.117276709432854,7.226181983947754,6.886656284332275,6.3447041511535645,7.03780848639352,6.353558468818664,5.562659902572632,4.503754991292953,2.011662851252888,1.8385726125139907,625622551.2,1.5535678471559544,5.716425253066237,14.746514097714767,14.586603381260316,30.878518025067404,7.526833766169543,5.180283171467786,88.11791207292507,1,6,2,bullish,6.9435319900512695,-4.626095235300713,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-08,7.273620851925314,7.2820652530488195,6.904785615317063,6.9435319900512695,1027007964,-4.626095235300709,-0.0921111301838181,7.280326843261719,7.153160095214844,6.358363628387451,7.085921832493374,6.417837476730346,5.61232964515686,4.524886614084243,2.4123996292068237,2.0277996644893554,664294041.0,1.546014115155972,-2.930566384272681,9.203128286832872,8.191147177331535,23.71924724776574,7.571348841963433,5.26432611149726,73.42841378008124,2,6,2,bullish,7.111185073852539,2.4145216590271894,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-09,7.071693308447175,7.165578892191346,6.968369947149692,7.111185073852539,656986356,2.41452165902718,1.8457655063667289,6.9435319900512695,7.150676727294922,6.477832317352295,7.117997373853411,6.486165070533753,5.66491530418396,4.547419072389602,2.4295651274712675,2.0465392447530286,674208716.4,0.9744554468355728,-0.5522785457723001,9.777232961150762,9.636202540669425,25.530298195286367,7.633651928059573,5.338678213007933,75.35233493020222,3,6,2,bullish,7.016555309295654,-1.3307172232773623,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-10,7.1280746145227365,7.135277179054442,6.954958451153889,7.016555309295654,507356136,-1.3307172232773667,0.2375066953650159,7.111185073852539,6.96091890335083,6.4378437995910645,7.098482404436384,6.552952814102173,5.715578575134277,4.569338045120239,2.4405554832875507,2.078636625517348,681698019.6,0.7442534984885263,0.7992681241846045,8.989213278852004,7.074711330070829,22.761942943472057,7.657768919688606,5.448136708515739,71.67392194099568,4,6,2,bullish,7.022763729095459,0.0884824465301323,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-13,6.949990338810964,7.05852950541054,6.868026687318597,7.022763729095459,511615872,0.0884824465301248,-0.9486844690941724,7.016555309295654,7.226181983947754,6.606738567352295,7.080209118979318,6.6194051742553714,5.766599473953247,4.591050868034363,2.44333401022708,2.0805021944736577,692462644.2,0.7388353383178788,-2.8150170491715865,6.296982353728731,6.093577054458856,21.78344899478616,7.664902331515553,5.57390801699519,66.90611147808545,0,6,2,bullish,6.913479328155518,-1.556145203734732,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-14,6.919440527636592,6.985258871287824,6.898577275975455,6.913479328155518,403272324,-1.5561452037347268,-1.4712612504788785,7.022763729095459,7.280326843261719,6.886656284332275,7.073432036808559,6.678145527839661,5.812826747894287,4.612435836791992,2.513439180413231,2.126274300369388,701274823.2,0.5750560417381315,-5.038887992312258,0.3894929950877257,3.5239393830937678,18.934893950863835,7.64429207937667,5.711998976302652,63.210792668894186,1,6,2,bullish,6.82530689239502,-1.2753699197654509,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-15,6.830274716678487,6.887399726694295,6.642255085311681,6.82530689239502,834488676,-1.2753699197654456,-1.2035128410404845,6.913479328155518,6.9435319900512695,7.153160095214844,7.01616416658674,6.729894161224365,5.855661268234253,4.6338940727710725,2.562999000799225,2.149930848777148,727397074.8,1.1472257793027902,-1.7026651252654013,-4.583333777740329,1.4177448988781114,16.55911398804594,7.602123626634493,5.857664695814237,58.39433480575486,2,6,2,bullish,6.890878200531006,0.9607085684168728,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-16,6.811894663556866,6.912237906054661,6.782339017584789,6.890878200531006,497997504,0.9607085684168792,-0.196507337319848,6.82530689239502,7.111185073852539,7.150676727294922,6.960528646196638,6.777432894706726,5.89948431968689,4.655635459423065,2.53082441090068,2.149621097955027,727697574.0,0.6843467970665518,-3.098033183408344,-3.6332019565677776,1.6738683744531442,16.804754909438145,7.568258331440743,5.986607457972708,60.81083356849608,3,6,2,bullish,6.961913108825684,1.0308542137517949,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-17,6.9296243793734,6.961913108825684,6.85262806915764,6.961913108825684,416958624,1.0308542137517973,0.5622821607760852,6.890878200531006,7.016555309295654,6.96091890335083,6.963154520307269,6.828498578071594,5.942472848892212,4.677995294332504,2.5248358254317584,2.1355199409518715,729131938.2,0.5718562062023248,-0.7787610595412775,0.0142826757308478,1.95379012280276,17.15515217075858,7.517091618037312,6.139905538105876,58.890833449314655,4,6,2,bullish,7.120872020721436,2.2832648068278565,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2005-06-20,6.857347322383133,7.144963863059558,6.749056133290162,7.120872020721436,840147012,2.283264806827856,-1.5019691399191863,6.961913108825684,7.022763729095459,7.226181983947754,6.964538369859968,6.88449444770813,5.989489984512329,4.700993453264236,2.5456587519296483,2.1534980209379317,754828615.8,1.1130301560037916,1.39700402021945,-1.4573389302989348,3.4334775749873128,18.88945534819564,7.463096078156517,6.305892817259744,56.24088997220996,0,6,2,bullish,7.149185657501221,0.3976147401244352,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
