ticker,filing_date,form_type,risk_level,anomaly_count,anomalies,signal_bearish,base_price,return_30d,price_30d,return_60d,price_60d,return_90d,price_90d,signal_correct_30d
AAPL,2008-11-05,10-K,ELEVATED,2,"['Uncertainty', 'Positive Language']",True,3.1,-13.43,2.68,-9.99,2.79,-1.72,3.04,True
AAPL,2009-10-27,10-K,ELEVATED,2,"['Uncertainty', 'Positive Language']",True,5.91,0.22,5.93,2.89,6.08,13.0,6.68,False
AAPL,2010-10-27,10-K,ELEVATED,2,"['Uncertainty', 'Positive Language']",True,9.22,3.88,9.58,9.62,10.11,15.57,10.66,False
AAPL,2011-10-26,10-K,ELEVATED,2,"['Uncertainty', 'Positive Language']",True,12.0,-2.48,11.71,4.95,12.6,32.47,15.9,True
AAPL,2012-10-31,10-K,HIGH,3,"['Uncertainty', 'Sentiment Score', 'Positive Language']",True,17.91,-10.62,16.01,-22.67,13.85,-27.3,13.02,True
AAPL,2013-10-30,10-K,ELEVATED,2,"['Sentiment Score', 'Positive Language']",True,16.17,7.41,17.37,-2.94,15.7,3.44,16.73,False
AAPL,2014-10-27,10-K,ELEVATED,2,"['Sentiment Score', 'Positive Language']",True,23.18,9.04,25.28,7.95,25.02,21.96,28.27,False
AAPL,2015-10-28,10-K,ELEVATED,2,"['Sentiment Score', 'Positive Language']",True,26.75,-2.18,26.17,-15.81,22.52,-14.39,22.9,True
AAPL,2016-10-26,10-K,ELEVATED,2,"['Sentiment Score', 'Positive Language']",True,26.48,-2.5,25.82,4.32,27.63,21.39,32.15,True
AAPL,2019-10-31,10-K,ELEVATED,2,"['Sentiment Score', 'Positive Language']",True,59.79,10.94,66.33,30.77,78.18,0.32,59.98,False
AAPL,2022-10-28,10-K,ELEVATED,2,"['Uncertainty', 'Positive Language']",True,153.03,-7.07,142.21,-7.41,141.69,-4.34,146.38,True
AAPL,2025-10-31,10-K,ELEVATED,2,"['Uncertainty', 'Positive Language']",True,269.86,1.48,273.85,-4.38,258.04,,,False
GOOGL,2021-02-03,10-K,ELEVATED,2,"['Sentiment Score', 'Positive Language']",True,102.17,-1.82,100.31,14.31,116.79,18.94,121.53,True
GOOGL,2022-02-02,10-K,ELEVATED,2,"['Sentiment Score', 'Positive Language']",True,146.89,-9.57,132.84,-22.9,113.25,-28.11,105.59,True
